2025-08-30 (13:02:04) -->  PaksDatabase initialized
2025-08-30 (23:42:27) -->  PaksDatabase SELECT id FROM crimes where deleted_at is null and person_id = '5' and status = 1 executed
2025-08-30 (23:42:27) -->  PaksDatabase SELECT id FROM crimes where deleted_at is null and person_id = '5' and status = 1 executed
2025-08-30 (23:42:27) -->  PaksDatabase Db Connection Closed..
2025-08-30 (23:42:27) -->  PaksDatabase Db Connected
2025-08-30 (23:42:27) -->  PaksDatabase SELECT id FROM crime_check_times where deleted_at is null and crime_id = 20 and print_status is null and date(end_time) < CURRENT_DATE() LIMIT 1 executed
2025-08-30 (23:42:27) -->  PaksDatabase SELECT id FROM crime_check_times where deleted_at is null and crime_id = 20 and print_status is null and date(end_time) < CURRENT_DATE() LIMIT 1 executed
2025-08-30 (23:42:27) -->  PaksDatabase Db Connection Closed..
2025-08-30 (23:42:27) -->  PaksDatabase Db Connected
2025-08-30 (23:42:27) -->  PaksDatabase SELECT id FROM crime_check_times where deleted_at is null and crime_id = 24 and print_status is null and date(end_time) < CURRENT_DATE() LIMIT 1 executed
2025-08-30 (23:42:27) -->  PaksDatabase SELECT id FROM crime_check_times where deleted_at is null and crime_id = 24 and print_status is null and date(end_time) < CURRENT_DATE() LIMIT 1 executed
2025-08-30 (23:42:27) -->  PaksDatabase Db Connection Closed..
2025-08-30 (23:42:27) -->  PaksDatabase Db Connected
2025-08-30 (23:42:27) -->  PaksDatabase SELECT id FROM crime_check_times where deleted_at is null and crime_id = 27 and print_status is null and date(end_time) < CURRENT_DATE() LIMIT 1 executed
2025-08-30 (23:42:27) -->  PaksDatabase SELECT id FROM crime_check_times where deleted_at is null and crime_id = 27 and print_status is null and date(end_time) < CURRENT_DATE() LIMIT 1 executed
2025-08-30 (23:42:27) -->  PaksDatabase Db Connection Closed..
2025-08-30 (23:42:27) -->  PaksDatabase Db Connected
2025-08-30 (23:42:27) -->  PaksDatabase SELECT id FROM crime_check_times where deleted_at is null and crime_id = 30 and print_status is null and date(end_time) < CURRENT_DATE() LIMIT 1 executed
2025-08-30 (23:42:27) -->  PaksDatabase SELECT id FROM crime_check_times where deleted_at is null and crime_id = 30 and print_status is null and date(end_time) < CURRENT_DATE() LIMIT 1 executed
2025-08-30 (23:42:27) -->  PaksDatabase Db Connection Closed..
2025-08-30 (23:42:27) -->  PaksDatabase Db Connected
2025-08-30 (23:42:27) -->  PaksDatabase SELECT id FROM crimes where deleted_at is null and person_id = '6' and status = 1 executed
2025-08-30 (23:42:27) -->  PaksDatabase SELECT id FROM crimes where deleted_at is null and person_id = '6' and status = 1 executed
2025-08-30 (23:42:27) -->  PaksDatabase Db Connection Closed..
2025-08-30 (23:42:27) -->  PaksDatabase Db Connected
2025-08-30 (23:42:27) -->  PaksDatabase SELECT id FROM crime_check_times where deleted_at is null and crime_id = 21 and print_status is null and date(end_time) < CURRENT_DATE() LIMIT 1 executed
2025-08-30 (23:42:27) -->  PaksDatabase SELECT id FROM crime_check_times where deleted_at is null and crime_id = 21 and print_status is null and date(end_time) < CURRENT_DATE() LIMIT 1 executed
2025-08-30 (23:42:27) -->  PaksDatabase Db Connection Closed..
2025-08-30 (23:42:27) -->  PaksDatabase Db Connected
2025-08-30 (23:42:27) -->  PaksDatabase SELECT id FROM crime_check_times where deleted_at is null and crime_id = 25 and print_status is null and date(end_time) < CURRENT_DATE() LIMIT 1 executed
2025-08-30 (23:42:27) -->  PaksDatabase SELECT id FROM crime_check_times where deleted_at is null and crime_id = 25 and print_status is null and date(end_time) < CURRENT_DATE() LIMIT 1 executed
2025-08-30 (23:42:27) -->  PaksDatabase Db Connection Closed..
2025-08-30 (23:42:27) -->  PaksDatabase Db Connected
2025-08-30 (23:42:27) -->  PaksDatabase SELECT id FROM crime_check_times where deleted_at is null and crime_id = 28 and print_status is null and date(end_time) < CURRENT_DATE() LIMIT 1 executed
2025-08-30 (23:42:27) -->  PaksDatabase SELECT id FROM crime_check_times where deleted_at is null and crime_id = 28 and print_status is null and date(end_time) < CURRENT_DATE() LIMIT 1 executed
2025-08-30 (23:42:27) -->  PaksDatabase Db Connection Closed..
2025-08-30 (23:42:27) -->  PaksDatabase Db Connected
2025-08-30 (23:42:27) -->  PaksDatabase SELECT id FROM crime_check_times where deleted_at is null and crime_id = 29 and print_status is null and date(end_time) < CURRENT_DATE() LIMIT 1 executed
2025-08-30 (23:42:27) -->  PaksDatabase SELECT id FROM crime_check_times where deleted_at is null and crime_id = 29 and print_status is null and date(end_time) < CURRENT_DATE() LIMIT 1 executed
2025-08-30 (23:42:27) -->  PaksDatabase Db Connection Closed..
2025-08-30 (23:42:27) -->  PaksDatabase Db Connected
2025-08-30 (23:42:27) -->  PaksDatabase SELECT id FROM crimes where deleted_at is null and person_id = '7' and status = 1 executed
2025-08-30 (23:42:27) -->  PaksDatabase SELECT id FROM crimes where deleted_at is null and person_id = '7' and status = 1 executed
2025-08-30 (23:42:27) -->  PaksDatabase Db Connection Closed..
2025-08-30 (23:42:27) -->  PaksDatabase Db Connected
2025-08-30 (23:42:27) -->  PaksDatabase SELECT id FROM crime_check_times where deleted_at is null and crime_id = 23 and print_status is null and date(end_time) < CURRENT_DATE() LIMIT 1 executed
2025-08-30 (23:42:27) -->  PaksDatabase SELECT id FROM crime_check_times where deleted_at is null and crime_id = 23 and print_status is null and date(end_time) < CURRENT_DATE() LIMIT 1 executed
2025-08-30 (23:42:27) -->  PaksDatabase Db Connection Closed..
2025-08-30 (23:42:27) -->  PaksDatabase Db Connected
2025-08-30 (23:42:27) -->  PaksDatabase SELECT id FROM crimes where deleted_at is null and person_id = '8' and status = 1 executed
2025-08-30 (23:42:27) -->  PaksDatabase SELECT id FROM crimes where deleted_at is null and person_id = '8' and status = 1 executed
2025-08-30 (23:42:27) -->  PaksDatabase Db Connection Closed..
2025-08-30 (23:42:27) -->  PaksDatabase Db Connected
2025-08-30 (23:42:27) -->  PaksDatabase SELECT id FROM crimes where deleted_at is null and person_id = '9' and status = 1 executed
2025-08-30 (23:42:27) -->  PaksDatabase SELECT id FROM crimes where deleted_at is null and person_id = '9' and status = 1 executed
2025-08-30 (23:42:27) -->  PaksDatabase Db Connection Closed..
2025-08-30 (23:42:27) -->  PaksDatabase Db Connected
2025-08-30 (23:42:27) -->  PaksDatabase SELECT id FROM crimes where deleted_at is null and person_id = '10' and status = 1 executed
2025-08-30 (23:42:27) -->  PaksDatabase SELECT id FROM crimes where deleted_at is null and person_id = '10' and status = 1 executed
2025-08-30 (23:42:27) -->  PaksDatabase Db Connection Closed..
2025-08-30 (23:42:27) -->  PaksDatabase Db Connected
2025-08-30 (23:42:27) -->  PaksDatabase SELECT id FROM crimes where deleted_at is null and person_id = '11' and status = 1 executed
2025-08-30 (23:42:27) -->  PaksDatabase SELECT id FROM crimes where deleted_at is null and person_id = '11' and status = 1 executed
2025-08-30 (23:42:27) -->  PaksDatabase Db Connection Closed..
2025-08-30 (23:42:27) -->  PaksDatabase Db Connected
2025-08-30 (23:42:27) -->  PaksDatabase SELECT id FROM crimes where deleted_at is null and person_id = '12' and status = 1 executed
2025-08-30 (23:42:27) -->  PaksDatabase SELECT id FROM crimes where deleted_at is null and person_id = '12' and status = 1 executed
2025-08-30 (23:42:27) -->  PaksDatabase Db Connection Closed..
2025-08-30 (23:42:27) -->  PaksDatabase Db Connected
2025-08-30 (23:42:27) -->  PaksDatabase SELECT id FROM crimes where deleted_at is null and person_id = '13' and status = 1 executed
2025-08-30 (23:42:27) -->  PaksDatabase SELECT id FROM crimes where deleted_at is null and person_id = '13' and status = 1 executed
2025-08-30 (23:42:27) -->  PaksDatabase Db Connection Closed..
2025-08-30 (23:42:27) -->  PaksDatabase Db Connected
2025-08-30 (23:42:27) -->  PaksDatabase SELECT id FROM crimes where deleted_at is null and person_id = '14' and status = 1 executed
2025-08-30 (23:42:27) -->  PaksDatabase SELECT id FROM crimes where deleted_at is null and person_id = '14' and status = 1 executed
2025-08-30 (23:42:27) -->  PaksDatabase Db Connection Closed..
2025-08-30 (23:42:27) -->  PaksDatabase Db Connected
2025-08-30 (23:42:27) -->  PaksDatabase SELECT id FROM crimes where deleted_at is null and person_id = '15' and status = 1 executed
2025-08-30 (23:42:27) -->  PaksDatabase SELECT id FROM crimes where deleted_at is null and person_id = '15' and status = 1 executed
2025-08-30 (23:42:27) -->  PaksDatabase Db Connection Closed..
2025-08-30 (23:42:27) -->  PaksDatabase Db Connected
2025-08-30 (23:42:27) -->  PaksDatabase SELECT id FROM people WHERE deleted_at is null executed
2025-08-30 (23:42:27) -->  PaksDatabase SELECT id FROM people WHERE deleted_at is null executed
2025-08-30 (23:42:27) -->  PaksDatabase Db Connection Closed..
2025-08-30 (23:42:27) -->  PaksDatabase Db Connected
2025-08-30 (23:42:27) -->  PaksDatabase SELECT id FROM crimes where deleted_at is null and person_id = '2' and status = 0 executed
2025-08-30 (23:42:27) -->  PaksDatabase SELECT id FROM crimes where deleted_at is null and person_id = '2' and status = 0 executed
2025-08-30 (23:42:27) -->  PaksDatabase Db Connection Closed..
2025-08-30 (23:42:27) -->  PaksDatabase Db Connected
2025-08-30 (23:42:27) -->  PaksDatabase SELECT id FROM crime_check_times where deleted_at is null and crime_id = 12 and print_status is null and date(end_time) < CURRENT_DATE() LIMIT 1 executed
2025-08-30 (23:42:27) -->  PaksDatabase SELECT id FROM crime_check_times where deleted_at is null and crime_id = 12 and print_status is null and date(end_time) < CURRENT_DATE() LIMIT 1 executed
2025-08-30 (23:42:27) -->  PaksDatabase Db Connection Closed..
2025-08-30 (23:42:27) -->  PaksDatabase Db Connected
2025-08-30 (23:42:27) -->  PaksDatabase SELECT id FROM crime_check_times where deleted_at is null and crime_id = 13 and print_status is null and date(end_time) < CURRENT_DATE() LIMIT 1 executed
2025-08-30 (23:42:27) -->  PaksDatabase SELECT id FROM crime_check_times where deleted_at is null and crime_id = 13 and print_status is null and date(end_time) < CURRENT_DATE() LIMIT 1 executed
2025-08-30 (23:42:27) -->  PaksDatabase Db Connection Closed..
2025-08-30 (23:42:27) -->  PaksDatabase Db Connected
2025-08-30 (23:42:27) -->  PaksDatabase SELECT id FROM crimes where deleted_at is null and person_id = '3' and status = 0 executed
2025-08-30 (23:42:27) -->  PaksDatabase SELECT id FROM crimes where deleted_at is null and person_id = '3' and status = 0 executed
2025-08-30 (23:42:27) -->  PaksDatabase Db Connection Closed..
2025-08-30 (23:42:27) -->  PaksDatabase Db Connected
2025-08-30 (23:42:27) -->  PaksDatabase SELECT id FROM crimes where deleted_at is null and person_id = '5' and status = 0 executed
2025-08-30 (23:42:27) -->  PaksDatabase SELECT id FROM crimes where deleted_at is null and person_id = '5' and status = 0 executed
2025-08-30 (23:42:27) -->  PaksDatabase Db Connection Closed..
2025-08-30 (23:42:27) -->  PaksDatabase Db Connected
2025-08-30 (23:42:27) -->  PaksDatabase SELECT id FROM crime_check_times where deleted_at is null and crime_id = 22 and print_status is null and date(end_time) < CURRENT_DATE() LIMIT 1 executed
2025-08-30 (23:42:27) -->  PaksDatabase SELECT id FROM crime_check_times where deleted_at is null and crime_id = 22 and print_status is null and date(end_time) < CURRENT_DATE() LIMIT 1 executed
2025-08-30 (23:42:27) -->  PaksDatabase Db Connection Closed..
2025-08-30 (23:42:27) -->  PaksDatabase Db Connected
2025-08-30 (23:42:27) -->  PaksDatabase SELECT id FROM crime_check_times where deleted_at is null and crime_id = 26 and print_status is null and date(end_time) < CURRENT_DATE() LIMIT 1 executed
2025-08-30 (23:42:27) -->  PaksDatabase SELECT id FROM crime_check_times where deleted_at is null and crime_id = 26 and print_status is null and date(end_time) < CURRENT_DATE() LIMIT 1 executed
2025-08-30 (23:42:27) -->  PaksDatabase Db Connection Closed..
2025-08-30 (23:42:27) -->  PaksDatabase Db Connected
2025-08-30 (23:42:27) -->  PaksDatabase SELECT id FROM crimes where deleted_at is null and person_id = '6' and status = 0 executed
2025-08-30 (23:42:27) -->  PaksDatabase SELECT id FROM crimes where deleted_at is null and person_id = '6' and status = 0 executed
2025-08-30 (23:42:27) -->  PaksDatabase Db Connection Closed..
2025-08-30 (23:42:27) -->  PaksDatabase Db Connected
2025-08-30 (23:42:27) -->  PaksDatabase SELECT id FROM crimes where deleted_at is null and person_id = '7' and status = 0 executed
2025-08-30 (23:42:27) -->  PaksDatabase SELECT id FROM crimes where deleted_at is null and person_id = '7' and status = 0 executed
2025-08-30 (23:42:27) -->  PaksDatabase Db Connection Closed..
2025-08-30 (23:42:27) -->  PaksDatabase Db Connected
2025-08-30 (23:42:27) -->  PaksDatabase SELECT id FROM crimes where deleted_at is null and person_id = '8' and status = 0 executed
2025-08-30 (23:42:27) -->  PaksDatabase SELECT id FROM crimes where deleted_at is null and person_id = '8' and status = 0 executed
2025-08-30 (23:42:27) -->  PaksDatabase Db Connection Closed..
2025-08-30 (23:42:27) -->  PaksDatabase Db Connected
2025-08-30 (23:42:27) -->  PaksDatabase SELECT id FROM crimes where deleted_at is null and person_id = '9' and status = 0 executed
2025-08-30 (23:42:27) -->  PaksDatabase SELECT id FROM crimes where deleted_at is null and person_id = '9' and status = 0 executed
2025-08-30 (23:42:27) -->  PaksDatabase Db Connection Closed..
2025-08-30 (23:42:27) -->  PaksDatabase Db Connected
2025-08-30 (23:42:27) -->  PaksDatabase SELECT id FROM crimes where deleted_at is null and person_id = '10' and status = 0 executed
2025-08-30 (23:42:27) -->  PaksDatabase SELECT id FROM crimes where deleted_at is null and person_id = '10' and status = 0 executed
2025-08-30 (23:42:27) -->  PaksDatabase Db Connection Closed..
2025-08-30 (23:42:27) -->  PaksDatabase Db Connected
2025-08-30 (23:42:27) -->  PaksDatabase SELECT id FROM crimes where deleted_at is null and person_id = '11' and status = 0 executed
2025-08-30 (23:42:27) -->  PaksDatabase SELECT id FROM crimes where deleted_at is null and person_id = '11' and status = 0 executed
2025-08-30 (23:42:27) -->  PaksDatabase Db Connection Closed..
2025-08-30 (23:42:27) -->  PaksDatabase Db Connected
2025-08-30 (23:42:27) -->  PaksDatabase SELECT id FROM crimes where deleted_at is null and person_id = '12' and status = 0 executed
2025-08-30 (23:42:27) -->  PaksDatabase SELECT id FROM crimes where deleted_at is null and person_id = '12' and status = 0 executed
2025-08-30 (23:42:27) -->  PaksDatabase Db Connection Closed..
2025-08-30 (23:42:27) -->  PaksDatabase Db Connected
2025-08-30 (23:42:27) -->  PaksDatabase SELECT id FROM crimes where deleted_at is null and person_id = '13' and status = 0 executed
2025-08-30 (23:42:27) -->  PaksDatabase SELECT id FROM crimes where deleted_at is null and person_id = '13' and status = 0 executed
2025-08-30 (23:42:27) -->  PaksDatabase Db Connection Closed..
2025-08-30 (23:42:27) -->  PaksDatabase Db Connected
2025-08-30 (23:42:27) -->  PaksDatabase SELECT id FROM crimes where deleted_at is null and person_id = '14' and status = 0 executed
2025-08-30 (23:42:27) -->  PaksDatabase SELECT id FROM crimes where deleted_at is null and person_id = '14' and status = 0 executed
2025-08-30 (23:42:27) -->  PaksDatabase Db Connection Closed..
2025-08-30 (23:42:27) -->  PaksDatabase Db Connected
2025-08-30 (23:42:27) -->  PaksDatabase SELECT id FROM crimes where deleted_at is null and person_id = '15' and status = 0 executed
2025-08-30 (23:42:27) -->  PaksDatabase SELECT id FROM crimes where deleted_at is null and person_id = '15' and status = 0 executed
2025-08-30 (23:42:27) -->  PaksDatabase Db Connection Closed..
2025-08-30 (23:43:43) -->  Check fingerprint module exception: is_device_open() missing 1 required positional argument: 'dev'
